"id","asset_id","state","ordering","checked_out","checked_out_time","created_by","modified_by","country","stateprov_name","stateprov_id","game_id","game_name","draw_date","draw_results","next_draw_date","next_jackpot","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelveth","thirtheenth","fourteenth","fifteenth","sixteenth","seventeenth","eighteenth","nineteenth","twentieth","twenty_first","twenty_second","twenty_third","twenty_fourth","twenty_fifth"
"21","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-02-16 00:00:00","19-31-32-42-45,06",NULL,"31000000","19","31","32","42","45","06",,,,,,,,,,,,,,,,,,,
"22","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-02-20 00:00:00","08-09-19-22-25,11",NULL,"31000000","08","09","19","22","25","11",,,,,,,,,,,,,,,,,,,
"23","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-02-23 00:00:00","08-15-19-21-38,33",NULL,"31000000","08","15","19","21","38","33",,,,,,,,,,,,,,,,,,,
"24","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-02-27 00:00:00","01-02-06-19-45,27",NULL,"31000000","01","02","06","19","45","27",,,,,,,,,,,,,,,,,,,
"25","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-02 00:00:00","06-22-25-36-46,34",NULL,"31000000","06","22","25","36","46","34",,,,,,,,,,,,,,,,,,,
"26","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-06 00:00:00","05-07-15-30-38,02",NULL,"31000000","05","07","15","30","38","02",,,,,,,,,,,,,,,,,,,
"27","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-09 00:00:00","02-12-38-44-49,19",NULL,"31000000","02","12","38","44","49","19",,,,,,,,,,,,,,,,,,,
"28","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-13 00:00:00","04-27-28-33-49,39",NULL,"31000000","04","27","28","33","49","39",,,,,,,,,,,,,,,,,,,
"29","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-16 00:00:00","10-16-37-38-45,14",NULL,"31000000","10","16","37","38","45","14",,,,,,,,,,,,,,,,,,,
"30","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-20 00:00:00","04-20-25-30-49,37",NULL,"31000000","04","20","25","30","49","37",,,,,,,,,,,,,,,,,,,
"31","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-23 00:00:00","01-02-10-39-48,13",NULL,"31000000","01","02","10","39","48","13",,,,,,,,,,,,,,,,,,,
"32","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-27 00:00:00","15-35-40-43-46,33",NULL,"31000000","15","35","40","43","46","33",,,,,,,,,,,,,,,,,,,
"33","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-03-30 00:00:00","08-13-16-19-29,37",NULL,"31000000","08","13","16","19","29","37",,,,,,,,,,,,,,,,,,,
"34","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-03 00:00:00","08-14-17-29-36,03",NULL,"31000000","08","14","17","29","36","03",,,,,,,,,,,,,,,,,,,
"35","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-06 00:00:00","15-16-22-30-35,20",NULL,"31000000","15","16","22","30","35","20",,,,,,,,,,,,,,,,,,,
"36","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-10 00:00:00","07-12-17-29-48,21",NULL,"31000000","07","12","17","29","48","21",,,,,,,,,,,,,,,,,,,
"37","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-13 00:00:00","16-22-32-33-38,13",NULL,"31000000","16","22","32","33","38","13",,,,,,,,,,,,,,,,,,,
"38","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-17 00:00:00","02-03-22-23-36,22",NULL,"31000000","02","03","22","23","36","22",,,,,,,,,,,,,,,,,,,
"39","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-20 00:00:00","27-34-40-42-44,08",NULL,"31000000","27","34","40","42","44","08",,,,,,,,,,,,,,,,,,,
"40","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-24 00:00:00","01-13-16-33-43,01",NULL,"31000000","01","13","16","33","43","01",,,,,,,,,,,,,,,,,,,
"41","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-04-27 00:00:00","01-09-12-18-33,24",NULL,"31000000","01","09","12","18","33","24",,,,,,,,,,,,,,,,,,,
"42","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-01 00:00:00","03-26-32-45-48,06",NULL,"31000000","03","26","32","45","48","06",,,,,,,,,,,,,,,,,,,
"43","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-04 00:00:00","06-07-09-12-20,20",NULL,"31000000","06","07","09","12","20","20",,,,,,,,,,,,,,,,,,,
"44","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-08 00:00:00","06-11-25-28-34,35",NULL,"31000000","06","11","25","28","34","35",,,,,,,,,,,,,,,,,,,
"45","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-11 00:00:00","03-15-16-36-40,22",NULL,"31000000","03","15","16","36","40","22",,,,,,,,,,,,,,,,,,,
"46","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-15 00:00:00","30-33-36-37-49,35",NULL,"31000000","30","33","36","37","49","35",,,,,,,,,,,,,,,,,,,
"47","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-18 00:00:00","02-18-25-31-32,01",NULL,"31000000","02","18","25","31","32","01",,,,,,,,,,,,,,,,,,,
"48","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-22 00:00:00","05-20-22-23-34,19",NULL,"31000000","05","20","22","23","34","19",,,,,,,,,,,,,,,,,,,
"49","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-25 00:00:00","09-29-30-33-42,27",NULL,"31000000","09","29","30","33","42","27",,,,,,,,,,,,,,,,,,,
"50","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-05-29 00:00:00","18-28-31-35-49,13",NULL,"31000000","18","28","31","35","49","13",,,,,,,,,,,,,,,,,,,
"51","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-01 00:00:00","02-06-17-19-27,02",NULL,"31000000","02","06","17","19","27","02",,,,,,,,,,,,,,,,,,,
"52","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-05 00:00:00","01-18-21-36-47,33",NULL,"31000000","01","18","21","36","47","33",,,,,,,,,,,,,,,,,,,
"53","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-08 00:00:00","26-37-42-46-48,38",NULL,"31000000","26","37","42","46","48","38",,,,,,,,,,,,,,,,,,,
"54","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-12 00:00:00","13-18-27-39-49,20",NULL,"31000000","13","18","27","39","49","20",,,,,,,,,,,,,,,,,,,
"55","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-15 00:00:00","07-08-16-42-43,15",NULL,"31000000","07","08","16","42","43","15",,,,,,,,,,,,,,,,,,,
"56","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-19 00:00:00","01-03-04-07-11,23",NULL,"31000000","01","03","04","07","11","23",,,,,,,,,,,,,,,,,,,
"57","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-22 00:00:00","01-16-26-37-48,09",NULL,"31000000","01","16","26","37","48","09",,,,,,,,,,,,,,,,,,,
"58","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-26 00:00:00","06-09-17-23-24,14",NULL,"31000000","06","09","17","23","24","14",,,,,,,,,,,,,,,,,,,
"59","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-06-29 00:00:00","04-33-35-36-45,22",NULL,"31000000","04","33","35","36","45","22",,,,,,,,,,,,,,,,,,,
"60","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-03 00:00:00","07-19-38-48-49,10",NULL,"31000000","07","19","38","48","49","10",,,,,,,,,,,,,,,,,,,
"61","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-06 00:00:00","02-09-27-36-39,13",NULL,"31000000","02","09","27","36","39","13",,,,,,,,,,,,,,,,,,,
"62","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-10 00:00:00","26-31-37-43-45,32",NULL,"31000000","26","31","37","43","45","32",,,,,,,,,,,,,,,,,,,
"63","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-13 00:00:00","03-22-37-42-49,08",NULL,"31000000","03","22","37","42","49","08",,,,,,,,,,,,,,,,,,,
"64","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-17 00:00:00","10-11-25-40-45,25",NULL,"31000000","10","11","25","40","45","25",,,,,,,,,,,,,,,,,,,
"65","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-20 00:00:00","02-03-06-13-26,10",NULL,"31000000","02","03","06","13","26","10",,,,,,,,,,,,,,,,,,,
"66","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-24 00:00:00","16-19-22-34-37,20",NULL,"31000000","16","19","22","34","37","20",,,,,,,,,,,,,,,,,,,
"67","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-27 00:00:00","02-05-17-22-44,30",NULL,"31000000","02","05","17","22","44","30",,,,,,,,,,,,,,,,,,,
"68","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-07-31 00:00:00","02-04-06-22-34,26",NULL,"31000000","02","04","06","22","34","26",,,,,,,,,,,,,,,,,,,
"69","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-03 00:00:00","13-19-24-33-34,41",NULL,"31000000","13","19","24","33","34","41",,,,,,,,,,,,,,,,,,,
"70","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-07 00:00:00","13-35-40-46-47,35",NULL,"31000000","13","35","40","46","47","35",,,,,,,,,,,,,,,,,,,
"71","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-10 00:00:00","11-16-21-27-35,31",NULL,"31000000","11","16","21","27","35","31",,,,,,,,,,,,,,,,,,,
"72","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-14 00:00:00","04-16-19-33-41,29",NULL,"31000000","04","16","19","33","41","29",,,,,,,,,,,,,,,,,,,
"73","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-17 00:00:00","03-26-33-42-46,41",NULL,"31000000","03","26","33","42","46","41",,,,,,,,,,,,,,,,,,,
"74","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-21 00:00:00","01-06-43-47-48,36",NULL,"31000000","01","06","43","47","48","36",,,,,,,,,,,,,,,,,,,
"75","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-24 00:00:00","05-10-18-24-45,20",NULL,"31000000","05","10","18","24","45","20",,,,,,,,,,,,,,,,,,,
"76","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-28 00:00:00","24-30-36-37-38,42",NULL,"31000000","24","30","36","37","38","42",,,,,,,,,,,,,,,,,,,
"77","0","1","0",NULL,NULL,"0","0","usa","Arizona","AZ","101","Powerball","2002-08-31 00:00:00","12-14-22-29-41,41",NULL,"31000000","12","14","22","29","41","41",,,,,,,,,,,,,,,,,,,
